stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone,wheelchair_boarding
QXB,"",Aix-en-Provence - Krypton Park & Ride,"",43.511004,5.447470,Europe/Paris,1
XAM,"",Amsterdam City Center - Sloterdijk,"",52.389725,4.838442,Europe/Amsterdam,1
XAN,"",Antwerp - Rooseveltplaats,"",51.219258,4.417153,Europe/Brussels,1
XBC,"",Barcelona - North Bus Station,"",41.394968,2.183275,Europe/Madrid,1
ZYR,"",Brussels - Midi Train Station,"Your bus stop is located on parking strip Rue de France, take the exit Rue de France / Rue de l'Instruction.",50.834966,4.333064,Europe/Brussels,1
GOA,"",Genoa - Via Fanti d'Italia Bus Stop,"",44.416356,8.919053,Europe/Rome,1
XGC,"",Geneva - Bus Station,The bus station is a 7 minute walk from Geneva Cornavin train station.,46.208384,6.146746,Europe/Zurich,1
GIA,"",Girona - Bus Station,"The entrance to the underground -1 bus station is located in Plaça Joan Brossa. As the station is closed from 23:00 to 5:45, all departures and arrivals during these hours take place at the taxi stop",41.978969,2.817311,Europe/Madrid,1
XDB,"",Lille - Europe Train Station,"",50.638638,3.076491,Europe/Paris,1
ZEP,"",London - Victoria Coach Station,Access : Buses are inside the Victoria Coach Station.,51.492513,-0.148349,Europe/London,1
XYL,"",Lyon - Perrache Bus Station,"Platforms are accessible from level 1, galerie A. Saône side. WARNING: The station is closed between 00:45 and 04:45, the BlaBlaCar bus stop will be located under the Kitchener bridge.",45.749711,4.826788,Europe/Paris,1
XRF,"",Marseille - Saint-Charles Bus Station,"",43.304179,5.379868,Europe/Paris,1
XLM,"",Milan - Lampugnano Bus Station,"",45.489769,9.127595,Europe/Rome,1
XMT,"",Montpellier - Sabines Bus Station,"",43.584233,3.860007,Europe/Paris,1
NCE,"",Nice - Airport Bus Station Terminal 1,"",43.664926,7.209845,Europe/Paris,1
XNS,"",Nîmes - Parnasse Bus Station,"",43.817307,4.361770,Europe/Paris,1
XPB,"",Paris - Bercy-Seine Bus Station,Pedestrians: via Bercy Park (behind the weight training area) from Bercy metro station. Cars: Quai de Bercy side. Free minute drop-off (10 min). Parking prohibited on the Quai de Bercy.,48.835687,2.380161,Europe/Paris,1
CDG,"",Paris - CDG Roissypole Bus Station,"Platform I - Transport: RER B - Roissypôle Gare. By car: Rue du Luxembourg, Tremblay-en-France.",49.010894,2.558934,Europe/Paris,1
QRH,"",Rotterdam,"",51.923531,4.466534,Europe/Amsterdam,1
XTS,"",Toulouse - Matabiau Bus Station,"ATTENTION: the bus station is closed from 1:00 to 4:30. Substitution: bus stop Pont Matabiau 89 boulevard Pierre Sémard 31500 TOULOUSE.  GPS point: 43.61392540552035, 1.4512734381914663",43.613299,1.452226,Europe/Paris,1
XUT,"",Torino - Porta Nuova,"Transport: Metro : Line 1 - Station Porta Nuova. Bus : 11, 12, 58, 64, 92 - Bus stop Porta Nuova. Tramway : 4, 9 - Bus stop Porta Nuova",45.062613,7.679807,Europe/Rome,1
ORY,"",Paris-Orly Airport - Orly Parking P5,"",48.730637,2.364067,Europe/Paris,1
QJZ,"",Nantes - Haluchère-Batignolles,"Transport : From the city center : Take Tram 1 direction ""Beaujoire/Ranzay"", stop at ""Haluchère-Batignolles"" (18 minutes).",47.248785,-1.520898,Europe/Paris,1
QXG,"",Angers - Bus Station Esplanade,"PLEASE NOTE: From 7 July 2025 to 31 August 2025, your platform will be moved to Place Sémard Quai P.",47.464769,-0.557731,Europe/Paris,1
XAS,"",Amiens,Attention: Your stop is not at Amiens bus station but in Hortillons' parking (10 min from bus station) .,49.897096,2.311491,Europe/Paris,1
XBE,"",Brive-la-Gaillarde - Brive Laroche Multimodal Interchange Hub,"",45.148625,1.479200,Europe/Paris,1
XBS,"",Bourges,Please note: your stop has been moved to 1 rue Joseph le Brix until 31/12/2025 inclusive.,47.068265,2.374870,Europe/Paris,1
XBT,"",Brest - SNCF Train Station,Platform 8,48.387050,-4.483548,Europe/Paris,1
XCA,"",Caen - Bus Station,"",49.176438,-0.347647,Europe/Paris,1
XCF,"",Clermont-Ferrand - Bus Station,"Note: 09-19-2025, 7:30 a.m. to 4 p.m. Dep: 17 Avenue de la Libération. From Saturday 8 p.m. to Sunday 2 p.m., the bus station is closed. Departures are from the “Salins Pasteur” stop on bd Pasteur.",45.770780,3.082300,Europe/Paris,1
XDE,"",Dunkirk - Pôle d'Échange Station,"",51.031717,2.368469,Europe/Paris,1
XER,"",Strasbourg - L'Étoile Park Bus Station,"",48.574241,7.754260,Europe/Paris,1
XGE,"",Grenoble - Bus Station,"",45.192833,5.714294,Europe/Paris,1
XIZ,"",Reims - Champagne Ardenne Train Station,"Transport:  To reach the city center: Tram B in 25 minutes, Bus, or train in 12 minutes.",49.214754,3.994568,Europe/Paris,1
XLH,"",Le Havre - Bus Station,"",49.492105,0.125341,Europe/Paris,1
XLS,"",Limoges,"",45.836153,1.268487,Europe/Paris,1
XLT,"",Lorient - Échange Bus Station,"",47.755408,-3.364137,Europe/Paris,1
XMS,"",Le Mans - Université Bus Station,"Your stop is located at the terminal station of Tram 1, stop ""Université"". Transport : From the city center : Tram 1 direction "" Université "" (17 minutes).",48.017410,0.149440,Europe/Paris,1
XMZ,"",Metz - Bus Station,"Access : If the station is closed, the departure will be in front of the station gate.",49.110633,6.183319,Europe/Paris,1
XNY,"",Nancy - Vandoeuvre CHU Brabois Bus Stop,"Transport: From the city center: Take Tram 1 and get off at the terminal station ""Vandoeuvre CHU Brabois"".",48.648395,6.144363,Europe/Paris,1
XOP,"",Poitiers - Bus Station,"",46.584447,0.336029,Europe/Paris,1
XOS,"",Orléans - Georges Pompidou Bus Stop,"Transport : To reach your stop: Tram B direction Georges Pompidou, terminus stop (about 20 minutes from the city center)",47.896134,1.854014,Europe/Paris,1
XPD,"",Paris - La Défense Jules Verne Terminal,"Access: exit 6: La Coupole. From Monday to Saturday, from 6:00 to 21:00: platforms 1 to 10, before 6:00 or after 21:00:  platforms 11-15. On Sunday, all day:  platforms 11-15 .",48.891320,2.242330,Europe/Paris,1
XQR,"",Quimper - Bus Station,Boarding: BlaBlaCar buses stop at platform n° 6,47.994171,-4.090690,Europe/Paris,1
XRN,"",Rouen - Avenue Champlain Bus Stop,"",49.434093,1.092471,Europe/Paris,1
XSB,"",Saint-Brieuc,"",48.506828,-2.766448,Europe/Paris,1
XTO,"",Tours - Édouard Vaillant Bus Station,"",47.383496,0.702171,Europe/Paris,1
ZFJ,"",Rennes - Bus Station,"",48.104103,-1.669906,Europe/Paris,1
ZFQ,"",Bordeaux - Belcier Bus Stop,"",44.822718,-0.554691,Europe/Paris,1
COU,"",Coquelles - UK,"",50.929309,1.822330,Europe/London,1
XBN,"",Besançon - Viotte Hub,"",47.246810,6.022631,Europe/Paris,1
ZDH,"",Mulhouse,"",47.742183,7.341877,Europe/Paris,1
XCN,"",Cannes - Place Bénidorm,"Votre arrêt est situé sur le parking, en face de l'office de tourisme.",43.570898,7.014582,Europe/Paris,1
COF,"",Coquelles - Terminal Eurotunnel,"",50.929896,1.821999,Europe/Paris,1
XVS,"",Vannes,"",47.666422,-2.747920,Europe/Paris,1
XLR,"",La Rochelle - Bus Station,"",46.153044,-1.141486,Europe/Paris,1
XTR,"",Troyes,"",48.296203,4.065316,Europe/Paris,1
XLA,"",Les Deux Alpes,"",45.010446,6.124712,Europe/Paris,1
XAZ,"",Alpe d'Huez,"",45.089735,6.074666,Europe/Paris,1
XMO,"",Moutiers,"",45.486800,6.529400,Europe/Paris,1
XBM,"",Bourg-Saint-Maurice,La gare routière est située à proximité de la gare SNCF.,45.619570,6.771720,Europe/Paris,1
XAI,"",Aime - La Plagne,"",45.554480,6.647470,Europe/Paris,1
QKU,"",Cologne - Airport Bus Station,Platform 9 or 11.,50.881444,7.117081,Europe/Berlin,1
XBA,"",Bayonne - Quai de Lesseps Bus Stop,Access: The bus station is 160 meters from the PONT GRENET bus stop.,43.497609,-1.479022,Europe/Paris,1
XNT,"",Niort,"Transport : Bus: Stop ""Pied de Fond"" line 2 and 7. From the city center: Line 2 and 7 direction Bessines (20 minutes).",46.307555,-0.485627,Europe/Paris,1
XZN,"",Avignon - Le Pontet - Le Lac Stop,Stop Le Pontet - Le Lac  Accessible by Bus lines C2 -14 - 902  opposite MATMUT (on the other side of the road),43.960626,4.855937,Europe/Paris,1
DOL,"",Deauville,"",49.359119,0.084067,Europe/Paris,1
DNR,"",Saint-Malo,"",48.650588,-2.021689,Europe/Paris,1
RYN,"",Royan,Departure and arrival on platform C.,45.626108,-1.016375,Europe/Paris,1
XAC,"",Arcachon,"",44.636959,-1.142979,Europe/Paris,1
XCL,"",Calais - City Hall,"",50.953183,1.853484,Europe/Paris,1
XAX,"",Parc Astérix,"",49.136899,2.570402,Europe/Paris,1
PGF,"",Perpignan - Bus Station,"",42.694931,2.879244,Europe/Paris,1
XAG,"",Le Cap d'Agde,"",43.316926,3.466234,Europe/Paris,1
XFJ,"",Fréjus - Bus Station,"",43.435580,6.737390,Europe/Paris,1
XZR,"",Béziers,"From November 7, 2024, the stop will be moved to 14, Boulevard Maréchal Leclerc (“Jean Perrin” stop).",43.342575,3.238013,Europe/Paris,1
XAV,"",Avranches,"",48.690150,-1.369671,Europe/Paris,1
XBP,"",Bordeaux Pessac,ATTENTION: Your bus stop has been moved from 07/07/2024 to 31/08/2024  Halte routière Belcier  147 rue des terres de bordes  33800 Bordeaux,44.804366,-0.632593,Europe/Paris,1
XCY,"",Chambéry - Bus Station,"",45.569957,5.917277,Europe/Paris,1
XCM,"",Les Contamines-Montjoie,"",45.822379,6.726850,Europe/Paris,1
XDX,"",Dax,"",43.720268,-1.049650,Europe/Paris,1
GVA,"",Geneva - Airport Bus Station,"",46.230120,6.109288,Europe/Zurich,1
XGP,"",Guingamp,"",48.555841,-3.142547,Europe/Paris,1
XHD,"",Hendaye,"",43.351104,-1.783282,Europe/Paris,1
LYS,"",Lyon - St. Exupéry Airport T1 Bus Stop,Transport : Tram Lyon Rhône Express.,45.719095,5.079539,Europe/Paris,1
XMG,"",Megève - Bus station,"",45.859000,6.618116,Europe/Paris,1
XMX,"",Morlaix,"",48.577528,-3.832942,Europe/Paris,1
PUF,"",Pau - Technopôle Héliparc,"",43.319002,-0.362155,Europe/Paris,1
PGX,"",Périgueux - Pôle Créavallée North,"Your stop is located at the exchange pole of Créavallée Nord. Transport : From the city center : Line "" Nord Sud Express "" direction "" Créavallée Nord"" (25 minutes), or line 11.",45.143110,0.698516,Europe/Paris,1
EAS,"",San Sebastián - Bus Station,Attention : This is an underground station.,43.317131,-1.977381,Europe/Madrid,1
XSJ,"",Saint-Jean-de-Luz,"",43.386163,-1.660763,Europe/Paris,1
LDE,"",Tarbes,Your stop is opposite the Lautréamont High School.,43.223340,0.047218,Europe/Paris,1
BVA,"",Beauvais Airport - Bus Station,"",49.459460,2.112223,Europe/Paris,1
LTQ,"",Le Touquet-Paris-Plage,"",50.527369,1.582905,Europe/Paris,1
GFR,"",Mont-Saint-Michel,"",48.612091,-1.509184,Europe/Paris,1
AUF,"",Auxerre - Train Station,"",47.796629,3.584484,Europe/Paris,1
TLN,"",Toulon - Bus Station,"",43.127798,5.930755,Europe/Paris,1
NCY,"",Annecy - Bus Station,"",45.901670,6.121292,Europe/Paris,1
XLV,"",Laval,"Attention: Line 50917 at 19h15 29 MAY 2024 OLYMPIC FLAME your stop is moved to  bus stop ""LAURIERS"" 48 avenue de Chanzy 53000 LAVAL",48.075944,-0.760562,Europe/Paris,1
CMX,"",Chamonix - Bus Station,"",45.917305,6.866800,Europe/Paris,1
XCB,"",Combloux,"",45.895668,6.644340,Europe/Paris,1
XPZ,"",Praz-sur-Arly - Chef-lieu,Your bus stop is located near the Tourist Office of Praz-sur-Arly.,45.837948,6.571725,Europe/Paris,1
XMK,"",Montélimar,"",44.559662,4.745270,Europe/Paris,1
ANG,"",Angoulême - Bus Station,"",45.653437,0.165591,Europe/Paris,1
XCD,"",Chalon-sur-Saône - Train Station,"",46.782053,4.844260,Europe/Paris,1
EBU,"",Saint-Étienne - Rue Milleret Bus Stop,"",45.442411,4.402973,Europe/Paris,1
BIJ,"",Biarritz - Airport Bus Station,"",43.472011,-1.532416,Europe/Paris,1
XMW,"",Montauban Sud,"",43.981774,1.331668,Europe/Paris,1
DLP,"",Chessy South Bus Station,"",48.865739,2.783049,Europe/Paris,1
CHO,"",Chamrousse,"",45.126295,5.878277,Europe/Paris,1
BRC,"",Briançon,"",44.889300,6.632900,Europe/Paris,1
XVE,"",Val d'Isère,"",45.450505,6.976705,Europe/Paris,1
XFY,"",Saint-Gervais-les-Bains - Le Fayet,"",45.905941,6.701106,Europe/Paris,1
OUI,"",Ouistreham,Votre arrêt est situé à la gare maritime de Ouistreham,49.283691,-0.249783,Europe/Paris,1
CER,"",Cherbourg-Octeville,"Votre arrêt est situé à la gare routière de Cherbourg, en face de la gare SNCF, de l'autre côté de l'avenue Jean-François Millet.",49.634024,-1.621079,Europe/Paris,1
MIM,"",Mimizan,"",44.201892,-1.229402,Europe/Paris,1
XLU,"",Lourdes,Your BlaBlaCar bus is at platform 2,43.100180,-0.041551,Europe/Paris,1
XBI,"",Biscarrosse,"",44.393668,-1.164642,Europe/Paris,1
XDU,"",Marennes-Oléron,"",45.821002,-1.108571,Europe/Paris,1
MON,"",Montargis,"",47.977843,2.729137,Europe/Paris,1
COL,"",Colmar,"",48.073756,7.347799,Europe/Paris,1
EAP,"",Basel Mulhouse Freiburg - Airport,"Boarding is in the French sector, level 2.",47.600746,7.531787,Europe/Zurich,1
XVN,"",Vienne,"",45.519027,4.870959,Europe/Paris,1
XGB,"",Grenoble - Oxford Bus Stop,"",45.204565,5.701076,Europe/Paris,1
XVO,"",Voiron,"",45.364954,5.593198,Europe/Paris,1
XVF,"",Villefontaine,"",45.625273,5.163441,Europe/Paris,1
XXB,"",Aix-les-Bains,"",45.688341,5.909571,Europe/Paris,1
XSD,"",Paris - St-Denis Université Bus Station,"Your BlaBlaCar bus stop is located on the place of the metro and bus stops, on rue Toussaint Louverture.",48.946262,2.363715,Europe/Paris,1
BRG,"",Bruges,"",51.195470,3.216475,Europe/Brussels,1
XHF,"",Honfleur,"",49.419217,0.237157,Europe/Paris,1
XVG,"",Valence - Central Bus Station,"",44.926842,4.892645,Europe/Paris,1
CAB,"",Cabourg,"",49.294317,-0.106552,Europe/Paris,1
LCT,"",La Ciotat,"",43.176659,5.610743,Europe/Paris,1
ORG,"",Orange,"",44.136092,4.801378,Europe/Paris,1
MAA,"",Marseille Provence Airport,Your bus station is located between terminal 1 and terminal 2.,43.443573,5.219932,Europe/Paris,1
ANB,"",Antibes - Stade 3 moulins,"",43.603707,7.081270,Europe/Paris,1
LUX,"",Luxembourg,The bus stops is near to the platform 4,49.599985,6.105255,Europe/Luxembourg,1
THI,"",Thionville,"",49.353986,6.168382,Europe/Paris,1
AMS,"",Amsterdam - Schiphol Airport Bus Station,"",52.306545,4.759699,Europe/Amsterdam,1
URT,"",Utrecht,"",52.090109,5.105177,Europe/Amsterdam,1
LHY,"",The Hague,"",52.079860,4.325712,Europe/Amsterdam,1
BXA,"",Brussels - Zaventem Airport Parking P16,"Buses depart from the ""Coaches"" bus station (Level 0) at the P16 parking.",50.897651,4.479879,Europe/Brussels,1
LVN,"",Leuven,"",50.884155,4.714259,Europe/Brussels,1
BLF,"",Belfort,"",47.628566,6.856902,Europe/Paris,1
LIG,"",Liège,Due to works on our actual stop our busses will stop in our new temporary stop at Rue des Guillemins 88 near the roundabout.,50.626258,5.566014,Europe/Brussels,1
HYP,"",Hyères - Place Louis Versin,"",43.117021,6.134157,Europe/Paris,1
LAC,"",Lacanau,"",45.001175,-1.195840,Europe/Paris,1
CRX,"",Châteauroux,"",46.849141,1.709043,Europe/Paris,1
CAR,"",Carcassonne,coach parking,43.215750,2.347978,Europe/Paris,1
SET,"",Sète,"",43.412607,3.698294,Europe/Paris,1
TGR,"",Turin - Vittorio Emanuele Bus Station,"",45.070176,7.657810,Europe/Rome,1
XDP,"",Dieppe,"",49.922104,1.080672,Europe/Paris,1
GAN,"",Ghent,"",51.053175,3.740671,Europe/Brussels,1
LGR,"",Le Grau-du-Roi,"",43.537515,4.140615,Europe/Paris,1
LSN,"",Lausanne,"",46.536110,6.623749,Europe/Zurich,1
ANM,"",Annemasse,"",46.199805,6.239285,Europe/Paris,1
NRB,"",Narbonne - Croix Sud,"",43.165258,2.988403,Europe/Paris,1
FGR,"",Figueras,"",42.264957,2.967383,Europe/Madrid,1
BCS,"",Barcelona - Sants Train station,"",41.379715,2.138935,Europe/Madrid,1
TLA,"",Toulouse - Blagnac Airport Bus Station,"",43.630144,1.375458,Europe/Paris,1
SAL,"",Sallanches P+R,Your stop is near the park-and-ride.,45.961747,6.630194,Europe/Paris,1
SGP,"",St-Gervais-les-Bains - Le Pont,"",45.894720,6.710810,Europe/Paris,1
XSN,"",Saint-Nazaire,"",47.285531,-2.212690,Europe/Paris,1
SDN,"",Sedan,"",49.695233,4.930713,Europe/Paris,1
CVM,"",Charleville-Mézières,"",49.768810,4.724886,Europe/Paris,1
FBH,"",Forbach,"",49.188599,6.899872,Europe/Paris,1
XLZ,"",Lannemezan,"",43.114340,0.387811,Europe/Paris,1
STG,"",Saint-Gaudens,"",43.105087,0.728974,Europe/Paris,1
MDS,"",Madrid - South Station,"",40.394264,-3.677721,Europe/Madrid,1
MDA,"",Madrid - Avénida de America,"",40.438469,-3.675941,Europe/Madrid,1
BLB,"",Bilbao,Your bus station is located underground.,43.261310,-2.949953,Europe/Madrid,1
BLG,"",Boulogne-sur-Mer,"",50.715587,1.609137,Europe/Paris,1
ALI,"",Lisbon - Sete Rios,Zoological Garden stop,38.742098,-9.168330,Europe/Lisbon,1
ALE,"",Lisbon - Oriente,Platform 28C,38.767621,-9.101271,Europe/Lisbon,1
ADT,"",Dortmund - Bus Station,"",51.519502,7.459241,Europe/Berlin,1
ADU,"",Düsseldorf - Bus Station,"",51.222885,6.795559,Europe/Berlin,1
AKA,"",Karlsruhe - Central Station South Side,"",48.991578,8.400345,Europe/Berlin,1
ATT,"",Stuttgart - Airport Bus Station,"",48.691806,9.196691,Europe/Berlin,1
AFR,"",Frankfurt - Main Bus Station,"ATTENTION: Your BlaBlaCar bus departs from stop area C ""Neuer Fernbusbahnhof"". Buses of the Marino company departs from bus stop area D ""Stuttgarter Straße"".",50.104489,8.662546,Europe/Berlin,1
ABD,"",Breda,"",51.596492,4.778302,Europe/Amsterdam,1
ADO,"",Dover - Ferry,"",51.127132,1.329641,Europe/London,1
CLS,"",Cluses,"",46.061484,6.582344,Europe/Paris,1
BRI,"",Bari - Giuseppe Capruzzi Bus Stop,"",41.116986,16.871423,Europe/Rome,1
BOL,"",Bologna - Bus Station,"",44.503935,11.346888,Europe/Rome,1
MHM,"",Mannheim - Bus Station,"",49.478279,8.472825,Europe/Berlin,1
MSY,"",Paris - Massy-Palaiseau Vilmorin Bus,"CAUTION: Due to works on the RER B line, your stop will be moved to 200m, Place Pierre Sémart, from 15 July to 27 August inclusive (48.725091, 2.256147)",48.725759,2.256828,Europe/Paris,1
STE,"",Saintes,"Your stop is located next to the carpooling area of Saintes - Brûlerie, facing the GIFI store.",45.755573,-0.652138,Europe/Paris,1
VNT,"",Venice - Tronchetto Bus Station,"",45.442127,12.308168,Europe/Rome,1
VNM,"",Venice - Mestre Bus Station,"",45.482412,12.233591,Europe/Rome,1
LMB,"",Lamballe,"",48.466415,-2.510363,Europe/Paris,1
SBG,"",Sarrebourg,Your stop is located at the bus stop Terrasses de la Sarre in the ZAC Les Terrasses La Sarre.,48.718824,7.047491,Europe/Paris,1
CRO,"",Crolles - Le Rafour,"",45.269610,5.893234,Europe/Paris,1
RCF,"",Rochefort,Transport: Shuttles leave every 20 minutes for the city centre.,45.965083,-0.959447,Europe/Paris,1
CBH,"",Capbreton - Hossegor,"Your stop is located near the train station square, boulevard des Cigales.",43.641131,-1.425719,Europe/Paris,1
STL,"",Saint-Lô,"",49.117083,-1.098937,Europe/Paris,1
LEN,"",Lens,Your stop is located in the bus station opposite the Auguste Behal vocational school.,50.443685,2.823304,Europe/Paris,1
BDL,"",Bandol,"Due to road services, the stop will be made at ""Gare routière"", 2 Place Lucien Artaud, 83150 Bandol",43.139340,5.766320,Europe/Paris,1
XET,"",Étretat,Important:  Departures take place on Parking du Grand Val.,49.705056,0.208536,Europe/Paris,1
TPI,"",La Tour du Pin - Gare,"",45.560500,5.449706,Europe/Paris,1
WAL,"",Parc Loisirs Walibi,"",45.619381,5.570126,Europe/Paris,1
OST,"",Ostend,The busstop is located just in front of the Casino.,51.231251,2.912640,Europe/Brussels,1
MUN,"",Munich - Fröttmaning,"",48.210560,11.618500,Europe/Berlin,1
ULM,"",Ulm - Bus Station,"",48.425861,10.010417,Europe/Berlin,1
